Seccion,azul ,rojo ,naranja ,negro 
4074,49,30,3,1
4074,45,40,2,0
4074,28,49,3,0
338,17,47,9,3
338,18,46,10,5
338,18,50,9,5
339,46,30,5,2
339,23,52,7,2
339,18,47,8,5
340,28,46,10,3
340,30,38,9,3
340,37,34,8,3
341,32,36,12,3
341,24,36,11,4
341,35,37,8,3
341,37,30,11,2
342,32,44,9,2
342,28,46,6,2
342,29,52,7,2
343,24,44,10,3
343,26,56,7,2
343,28,51,7,2
343,24,51,7,3
343,24,54,7,2
344,36,37,8,3
344,38,35,7,4
344,22,49,4,3
344,19,43,7,5
345,30,45,12,2
345,30,44,8,2
345,32,46,7,2
345,33,40,9,4
346,33,38,10,4
346,38,29,11,5
346,33,30,10,4
347,39,36,6,6
347,35,45,5,2
347,38,37,6,4
347,33,47,6,3
348,38,35,6,2
348,26,44,9,3
348,32,40,9,2
349,29,42,10,4
349,25,39,13,3
349,29,43,8,2
349,30,44,7,4
350,30,39,9,4
350,27,43,7,3
350,38,39,7,3
350,31,43,7,3
351,28,49,4,2
351,26,52,5,2
351,34,44,5,2
352,35,37,7,3
352,26,46,3,3
352,33,40,7,4
352,30,39,6,3
353,34,27,6,2
353,34,38,6,3
353,26,45,7,2
354,29,41,10,3
354,25,39,9,4
354,28,36,9,2
355,48,34,6,2
355,42,31,8,2
355,44,35,7,3
356,40,38,6,3
356,41,38,7,4
356,30,40,8,6
356,31,44,7,5
356,14,52,8,4
357,49,32,6,2
357,46,32,4,3
357,47,35,5,1
358,36,38,8,3
358,40,37,7,3
358,38,39,7,3
358,34,39,6,5
358,39,41,7,2
358,37,38,8,3
359,33,39,6,5
359,34,36,9,3
360,41,36,10,2
360,41,39,6,2
361,37,39,8,4
361,41,34,8,3
361,38,36,6,4
362,38,40,5,5
362,44,34,7,2
362,43,35,7,3
362,39,35,9,1
362,38,36,8,3
363,33,38,9,4
363,41,37,8,3
363,37,35,6,3
364,46,30,4,6
365,43,38,6,3
366,33,44,6,4
367,30,48,4,2
367,32,39,6,5
367,38,39,5,2
369,35,37,8,4
370,33,46,5,3
370,30,45,7,3
371,39,33,7,5
371,46,29,9,5
372,51,29,9,3
372,43,35,8,2
373,49,32,6,4
373,42,40,4,4
373,27,45,8,0
